file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\overriding.java,studentdatabaseapp.overriding,class,0,2,2,0,1,1,1,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,class,1,3,2,1,13,1,0,7,0,0.67857146,0.73333335,1.0,7,0,6,1,0,0,6,0,0,0,8,2,0,8,0,0,0,0,0,87,1,3,3,2,0,28,13,22,9,16,2,0,0,0,46,1,0
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\ConsOverload.java,studentdatabaseapp.ConsOverload,class,0,1,1,0,3,1,0,1,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,1,0,2,0,1,0,0,0,0,6,1,0
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\overriding.java,studentdatabaseapp.Demo,class,1,1,0,1,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,class,3,3,0,3,2,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,3,1,10,1,9,1,0,0,0,24,1,0
