file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\restaurant-management-system-main\TableBooking.java,TableBooking,class,2,3,1,2,12,1,0,2,0,0.5,0.8333333,1.0,4,3,0,0,0,4,4,0,0,0,4,2,0,0,0,4,0,0,0,43,3,5,3,0,0,19,22,12,8,9,3,0,0,0,27,1,0
C:\OOD\Java\restaurant-management-system-main\Customer.java,Customer,class,3,7,4,3,6,1,0,6,0,0.55,0.8333333,1.0,4,0,0,0,0,4,4,0,0,0,7,1,0,0,0,7,0,0,1,51,1,1,1,0,0,16,10,16,10,15,1,0,0,0,44,1,0
C:\OOD\Java\restaurant-management-system-main\Menu.java,Menu,class,1,3,2,1,3,1,0,1,0,0.25,0.0,0.0,2,1,0,0,0,2,2,0,0,0,4,2,0,0,0,4,0,0,0,18,0,1,0,0,1,22,21,6,2,6,1,0,0,0,19,1,0
C:\OOD\Java\restaurant-management-system-main\Main.java,Main,class,4,4,0,4,20,1,0,16,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,116,0,2,5,1,0,34,18,14,11,11,6,0,0,0,57,1,0
C:\OOD\Java\restaurant-management-system-main\Statistics.java,Statistics,class,2,5,3,2,18,1,0,2,0,0.071428575,1.0,1.0,7,7,0,0,0,7,7,0,0,0,2,2,0,0,0,2,0,0,1,52,9,5,5,0,0,4,15,15,1,10,2,0,0,0,23,1,0
