file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\DeleteLoginIdFrame.java,org.payroll.preferences.DeleteLoginIdFrame,class,1,3,2,1,5,6,0,12,4,0.59999996,0.3,0.3,5,0,1,0,0,4,5,0,0,0,5,1,0,1,0,4,1,0,0,58,0,0,0,0,0,5,5,7,0,7,0,2,0,0,51,1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\DeleteDepartmentFrame.java,org.payroll.departments.DeleteDepartmentFrame,class,2,4,2,2,5,6,0,15,4,0.6333334,0.3,0.3,5,0,1,0,0,4,5,0,0,0,5,1,0,1,0,4,1,0,0,50,0,0,0,0,0,4,3,6,0,6,0,2,0,0,48,1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\NewEmployeeFrame.java,org.payroll.employees.NewEmployeeFrame,class,2,4,2,2,6,6,0,16,9,0.6805556,0.2,0.2,6,0,1,0,0,5,6,0,0,0,6,1,0,1,0,5,1,0,0,67,0,0,0,0,0,7,6,12,0,12,0,2,0,0,53,1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\NewEmployeeFrame.java,org.payroll.employees.NewEmployeeFrame$Anonymous2,anonymous,1,1,0,1,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous7,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame$Anonymous2,anonymous,1,1,0,1,3,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,1,0,4,0,1,0,1,2,0,0,0,17,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\NewEmployeeFrame.java,org.payroll.employees.NewEmployeeFrame$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous8,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame$Anonymous2,anonymous,1,1,0,1,3,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,23,0,0,0,1,0,4,0,5,0,5,2,0,0,0,24,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous9,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\DatabaseManager.java,org.payroll.DatabaseManager,class,1,18,17,1,40,1,0,21,0,0.6491228,0.8011696,0.8947368,19,0,17,0,0,2,19,0,0,0,3,0,0,0,0,3,0,0,13,187,12,2,0,17,4,90,7,17,31,17,2,0,0,0,85,1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\LoginFrame.java,org.payroll.LoginFrame$Anonymous2,anonymous,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\LoginFrame.java,org.payroll.LoginFrame$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\NewDepartmentFrame.java,org.payroll.departments.NewDepartmentFrame,class,1,3,2,1,6,6,0,14,5,0.62820506,0.33333334,0.4,6,0,1,0,0,5,6,0,0,0,4,1,0,1,0,3,1,0,0,87,0,0,0,0,0,11,8,13,0,13,0,2,0,0,56,1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame,class,2,4,2,2,6,6,0,16,9,0.67857134,0.2,0.2,6,0,1,0,0,5,6,0,0,0,6,1,0,1,0,5,1,0,0,86,0,0,0,0,0,8,7,14,0,14,0,2,0,0,54,1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame,class,2,4,2,2,6,6,0,17,5,0.64285713,0.33333334,0.4,6,0,1,0,0,5,6,0,0,0,6,1,0,1,0,5,1,0,0,89,0,0,0,0,0,11,7,14,0,14,0,2,0,0,57,1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\NewLoginIdFrame.java,org.payroll.preferences.NewLoginIdFrame$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\ChangePasswordFrame.java,org.payroll.preferences.ChangePasswordFrame$Anonymous2,anonymous,2,2,0,2,4,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,8,0,0,0,0,3,0,0,0,17,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\NewLoginIdFrame.java,org.payroll.preferences.NewLoginIdFrame$Anonymous2,anonymous,2,2,0,2,5,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,10,0,0,1,0,4,0,0,0,26,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\DeleteDepartmentFrame.java,org.payroll.departments.DeleteDepartmentFrame$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\ChangePasswordFrame.java,org.payroll.preferences.ChangePasswordFrame$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\DeleteDepartmentFrame.java,org.payroll.departments.DeleteDepartmentFrame$Anonymous2,anonymous,1,1,0,1,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\DeleteLoginIdFrame.java,org.payroll.preferences.DeleteLoginIdFrame$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\DeleteLoginIdFrame.java,org.payroll.preferences.DeleteLoginIdFrame$Anonymous2,anonymous,1,1,0,1,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,4,0,0,0,0,1,0,0,0,14,-1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\ChangePasswordFrame.java,org.payroll.preferences.ChangePasswordFrame,class,1,4,3,1,22,6,0,17,30,0.8119659,0.083333336,0.083333336,9,0,1,0,0,8,9,0,0,0,8,1,0,1,0,7,1,0,0,95,8,6,3,0,4,9,13,19,0,19,3,2,0,0,67,1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\LoginFrame.java,org.payroll.LoginFrame,class,2,6,4,2,7,6,0,18,5,0.6607143,0.3809524,0.47619048,7,0,1,0,0,6,7,0,0,0,5,1,0,1,0,4,1,0,2,69,0,0,0,0,1,12,5,8,0,8,0,2,0,0,63,1,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\NewLoginIdFrame.java,org.payroll.preferences.NewLoginIdFrame,class,1,4,3,1,27,6,0,18,31,0.81538457,0.15555556,0.22222222,10,0,1,0,0,9,10,0,0,0,9,1,0,1,0,8,1,0,0,113,11,8,4,0,4,10,16,23,0,23,3,2,0,0,69,1,0
