file,class,method,variable,usage
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],id,2
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],e1,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\NewEmployeeFrame.java,org.payroll.employees.NewEmployeeFrame$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous8,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],hra,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],pf,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],basic_salary,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],dep_name,2
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],e1,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],da,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous9,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\DatabaseManager.java,org.payroll.DatabaseManager,DatabaseManager/1[java.lang.String],db,2
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\DatabaseManager.java,org.payroll.DatabaseManager,"createEmployee/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",ln,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\DatabaseManager.java,org.payroll.DatabaseManager,"createEmployee/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",e,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\DatabaseManager.java,org.payroll.DatabaseManager,"createEmployee/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",fn,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\DatabaseManager.java,org.payroll.DatabaseManager,"createEmployee/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",department,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\DatabaseManager.java,org.payroll.DatabaseManager,"createEmployee/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",email,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\DatabaseManager.java,org.payroll.DatabaseManager,initNewDatabase/0,e,1
