file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous2,anonymous,0,0,0,0,2,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,-1,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous3,anonymous,0,0,0,0,3,1,0,4,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,2,0,0,1,0,0,0,9,-1,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server$Anonymous2,anonymous,0,0,0,0,2,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,-1,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,class,1,2,1,1,10,6,0,48,0,0.6458333,0.5,0.5,4,2,4,0,0,0,4,0,0,0,12,8,0,1,0,11,1,0,7,184,1,2,0,3,0,22,92,43,1,43,4,3,0,0,99,1,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server$Anonymous3,anonymous,0,0,0,0,3,1,0,4,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,2,0,0,1,0,0,0,9,-1,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,class,1,2,1,1,9,6,0,48,0,0.6363636,0.5,0.5,4,2,4,0,0,0,4,0,0,0,11,7,0,1,0,10,1,0,7,177,1,1,0,3,0,23,84,41,1,41,3,3,0,0,104,1,0
,,,,,,,,2.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
