file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,class,0,0,0,0,4,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,1,0,3,0,6,0,6,2,0,0,0,26,1,0
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\App.java,mashinaphamacyinformationsystem.App,class,1,2,1,1,2,1,0,5,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,17,0,0,0,0,0,3,2,3,0,3,0,0,0,0,16,1,0
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,class,1,2,1,1,21,1,0,39,13,0.73519146,0.1904762,0.2857143,7,1,7,0,0,0,7,0,0,0,13,0,0,0,0,13,0,0,5,266,0,1,10,1,0,69,27,56,6,55,3,0,0,0,103,1,0
